area,bedrooms,age,price
800,1,15,150000
850,2,14,160000
900,2,13,170000
950,2,12,180000
1000,2,10,200000
1050,3,9,220000
1100,3,8,230000
1150,3,7,240000
1200,3,6,250000
1250,3,5,260000
1300,3,6,270000
1350,3,5,280000
1400,3,4,290000
1450,3,4,300000
1500,3,5,310000
1550,4,4,330000
1600,4,3,350000
1650,4,3,360000
1700,4,2,380000
1750,4,2,390000
1800,4,2,400000
1850,4,1,420000
1900,4,1,430000
1950,4,1,440000
2000,4,1,450000
810,1,14,155000
860,2,13,165000
910,2,12,175000
960,2,11,185000
1010,2,9,205000
1060,3,8,225000
1110,3,7,235000
1160,3,6,245000
1210,3,5,255000
1260,3,4,265000
1310,3,5,275000
1360,3,4,285000
1410,3,3,295000
1460,3,3,305000
1510,3,4,315000
1560,4,3,335000
1610,4,2,355000
1660,4,2,365000
1710,4,2,385000
1760,4,1,395000
1810,4,1,405000
1860,4,1,425000
1910,4,1,435000
1960,4,1,445000
2000,4,1,455000
820,1,13,158000
870,2,12,168000
920,2,11,178000
970,2,10,188000
1020,2,8,208000
1070,3,7,228000
1120,3,6,238000
1170,3,5,248000
1220,3,4,258000
1270,3,3,268000
1320,3,4,278000
1370,3,3,288000
1420,3,2,298000
1470,3,2,308000
1520,3,3,318000
1570,4,2,338000
1620,4,2,358000
1670,4,1,368000
1720,4,1,388000
1770,4,1,398000
1820,4,1,408000
1870,4,1,428000
1920,4,1,438000
1970,4,1,448000
2000,4,1,458000
830,1,12,160000
880,2,11,170000
930,2,10,180000
980,2,9,190000
1030,2,7,210000
1080,3,6,230000
1130,3,5,240000
1180,3,4,250000
1230,3,3,260000
1280,3,2,270000
1330,3,3,280000
1380,3,2,290000
1430,3,2,300000
1480,3,2,310000
1530,3,2,320000
1580,4,2,340000
1630,4,1,360000
1680,4,1,370000
1730,4,1,390000
1780,4,1,400000
1830,4,1,410000
1880,4,1,430000
1930,4,1,440000
1980,4,1,450000
2000,4,1,460000
